,color,name
0,#CD5B45,Albania
1,#EE2C2C,Australia
2,#808000,Austria
3,#A6A6A6,Azerbaijan
4,#27408B,Belgium
5,#0F0F0F,Bulgaria
6,#121212,Canada
7,#EE9572,China
8,#8B1A1A,Croatia
9,#8A8A8A,Czech Republic
10,#FAEBD7,Denmark
11,#F2F2F2,England
12,#1874CD,France
13,#FCE6C9,Germany
14,#00C957,Greece
15,#CD5C5C,Hungary
16,#63B8FF,Iceland
17,#838B8B,Israel
18,#1E90FF,Italy
19,#1E1E1E,Kazakhstan
20,#858585,Liechtenstein
21,#CD1076,Mexico
22,#C1CDCD,Netherlands
23,#050505,Northern Ireland
24,#A0522D,Norway
25,#424242,Poland
26,#EEA2AD,Portugal
27,#FF83FA,Qatar
28,#EED8AE,Republic of Ireland
29,#EE3A8C,Romania
30,#BFEFFF,Russia
31,#CD919E,Saudi Arabia
32,#87CEEB,Scotland
33,#FFA07A,Slovakia
34,#EE0000,Spain
35,#8FBC8F,Sweden
36,#EEB422,Switzerland
37,#FF4040,Turkey
38,#8470FF,Ukraine
39,#E6E6FA,United States
40,#7FFFD4,Wales
